Emotion	Name	Artist
Tension	Goodbye - Theme from Dark, a Netflix Original Series	Apparat
Tension	Plans We Made	Son Lux
Tension	背後からの使者〜巨像との戦い〜	SIE Sound Team
Transcendence	Bohemian Rhapsody	Queen
Transcendence	Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato	Pyotr Ilyich Tchaikovsky
Transcendence	The Great Gig In The Sky - 2011 Remastered Version	Pink Floyd
Transcendence	Donde Vas	Brigada Victor Jara
Transcendence	Hino Sport Lisboa Benfica Stadium	NN Chants Benfica. Francisco1904
Transcendence	Fairytale Tree	Luftschloss
Transcendence	Zombie (feat. Valerie Broussard)	ILLENIUM
Transcendence	Lower Your Eyelids To Die With the Sun	M83
Transcendence	Sirene - Zen Baboon Remix	Paul Schulleri
Transcendence	Gymnopédie No. 1	Various Artists
Transcendence	Arrival of the Birds	The Cinematic Orchestra
Transcendence	From The Mouth Of Gabriel	Sufjan Stevens
Transcendence	New Divide	Linkin Park
Transcendence	La Partida	Victor Jara
Transcendence	The Arena	Lindsey Stirling
Transcendence	Cornfield Chase	Hans Zimmer
Transcendence	Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito - Live at Philharmonie, Berlin	Evgeny Kissin
Transcendence	Numb	Elderbrook
Transcendence	Perfect Guidance (Brazil)	Tjak
Transcendence	Kônô	Bako Dagnon
Transcendence	Intro	The xx
Transcendence	Nuvole Bianche	Ludovico Einaudi
Transcendence	The Best Is Yet To Come	Various Artists
Transcendence	Now We Are Free	The Lyndhurst Orchestra
Transcendence	The Mission	Ennio Morricone
Transcendence	Wild Flower (with youjeen)	RM
Transcendence	Paradise	Coldplay
Transcendence	Hallelujah	Jeff Buckley
Transcendence	You & Me - Flume Remix	Disclosure
Transcendence	God's Gonna Cut You Down	Johnny Cash
Transcendence	Sunrise	Coldplay
Transcendence	Serenade for Strings in C major, Op. 48: I. Pezzo in forma di sonatina: Andante non troppo - Allegro moderato	Moscow Soloists
Transcendence	Also Frightened	Animal Collective
Transcendence	Atmosphere - 2020 Digital Remaster	Joy Division
Transcendence	Chevaliers De Sangreal - From The Da Vinci Code Original Motion Picture Soundtrack	Hans Zimmer
Transcendence	A Way of Life	Hans Zimmer
Transcendence	Old Pine	Ben Howard
Transcendence	"Symphony No. 2 in C minor - ""Resurrection"" / 5th Movement: Pesante"	Gustav Mahler
Transcendence	Shatter Me	Lindsey Stirling
Transcendence	Day One (Interstellar Theme)	Hans Zimmer
Wonder	Nicaragua	Klô Pelgag
Wonder	Cold Cold Cold	Cage The Elephant
Wonder	Aisling Song	Various Artists
Wonder	Canção De Engate - Acoustic	Tiago Bettencourt
Wonder	"Accidentally In Love - From ""Shrek 2"" Soundtrack"	Counting Crows
Wonder	プロローグ〜古えの地へ〜	SIE Sound Team
Wonder	Healer	DAY6
Wonder	I Can See Clearly Now	Johnny Nash
Wonder	La valse d'Amélie	Yann Tiersen
Wonder	A New Hope and End Credits	John Williams
Wonder	Theme From Jurassic Park	John Williams
Wonder	Mystery of Love	Sufjan Stevens
Wonder	Cello Suite No. 1 in G Major, BWV 1007: I. Prélude	Johann Sebastian Bach
Wonder	Downtown	Allie X
Wonder	Hurricane	Fleurie
Wonder	aBem	Rui Massena
Wonder	Experience	Ludovico Einaudi
Wonder	Screwed (feat. Zoë Kravitz)	Janelle Monáe
Wonder	Wanderlust - Ratatat Remix	Björk
Wonder	Don't Stop Me Now - Remastered 2011	Queen
Wonder	Stand by Me	Playing For Change
Wonder	oh baby	LCD Soundsystem
Wonder	The Universal	Blur
Wonder	I'm Good (Blue)	David Guetta
Wonder	Blackbird - Remastered 2009	The Beatles
Wonder	Gabriel's Oboe	Ennio Morricone
Wonder	Paper Rings	Taylor Swift
Wonder	Númenor	Bear McCreary
Wonder	Symphony No. 5 In E Minor, Op. 64, TH.29: II. Andante cantabile, con alcuna licenza - Moderato con anima	Pyotr Ilyich Tchaikovsky
Wonder	A Próxima Viagem	Cassete Pirata
Wonder	Cinema Paradiso (Main Theme)	Ennio Morricone
Wonder	November Rain - 2022 Version	Guns N' Roses
Wonder	Comfortably Numb - 2011 Remastered Version	Pink Floyd
Wonder	Danza Kuduro	Various Artists
Wonder	If I Lose Myself - Alesso vs OneRepublic	Alesso
Wonder	Cantiga para quem sonha	Luiz Goes
Wonder	Walk Of Life	Dire Straits
Wonder	The Heart Asks Pleasure First	Michael Nyman
Wonder	Kiss Me	Sixpence None The Richer
